epoch, 0, time used, 13, seconds, train loss, 0.2323966689, validation loss:, 0.1465139612
epoch, 1, time used, 10, seconds, train loss, 0.1519935040, validation loss:, 0.1021773323
epoch, 2, time used, 10, seconds, train loss, 0.1058247952, validation loss:, 0.0948642830
epoch, 3, time used, 10, seconds, train loss, 0.0897574204, validation loss:, 0.0697975202
epoch, 4, time used, 10, seconds, train loss, 0.0836167207, validation loss:, 0.0623579331
epoch, 5, time used, 10, seconds, train loss, 0.0759740251, validation loss:, 0.0729708326
epoch, 6, time used, 11, seconds, train loss, 0.0727320751, validation loss:, 0.0622561191
epoch, 7, time used, 11, seconds, train loss, 0.0721669017, validation loss:, 0.0614914594
epoch, 8, time used, 10, seconds, train loss, 0.0701837297, validation loss:, 0.0569138537
epoch, 9, time used, 10, seconds, train loss, 0.0673115804, validation loss:, 0.0539688624
epoch, 10, time used, 10, seconds, train loss, 0.0665569748, validation loss:, 0.0611037306
epoch, 11, time used, 10, seconds, train loss, 0.0649998589, validation loss:, 0.0564885077
epoch, 12, time used, 10, seconds, train loss, 0.0625149325, validation loss:, 0.0545879166
epoch, 13, time used, 10, seconds, train loss, 0.0628539898, validation loss:, 0.0576191719
epoch, 14, time used, 11, seconds, train loss, 0.0620990149, validation loss:, 0.0491037360
epoch, 15, time used, 11, seconds, train loss, 0.0601265185, validation loss:, 0.0512285707
epoch, 16, time used, 11, seconds, train loss, 0.0615423061, validation loss:, 0.0494565135
epoch, 17, time used, 11, seconds, train loss, 0.0613034876, validation loss:, 0.0509332501
epoch, 18, time used, 11, seconds, train loss, 0.0601414810, validation loss:, 0.0502402031
epoch, 19, time used, 11, seconds, train loss, 0.0596460749, validation loss:, 0.0522651125
epoch, 20, time used, 11, seconds, train loss, 0.0572609891, validation loss:, 0.0567788234
epoch, 21, time used, 11, seconds, train loss, 0.0574673792, validation loss:, 0.0476070963
epoch, 22, time used, 11, seconds, train loss, 0.0581365806, validation loss:, 0.0503485343
epoch, 23, time used, 11, seconds, train loss, 0.0556586426, validation loss:, 0.0448615713
epoch, 24, time used, 11, seconds, train loss, 0.0556701238, validation loss:, 0.0482863696
epoch, 25, time used, 11, seconds, train loss, 0.0553645961, validation loss:, 0.0495760036
epoch, 26, time used, 11, seconds, train loss, 0.0564653085, validation loss:, 0.0465774523
epoch, 27, time used, 10, seconds, train loss, 0.0568502088, validation loss:, 0.0554930884
epoch, 28, time used, 10, seconds, train loss, 0.0550882622, validation loss:, 0.0493542718
epoch, 29, time used, 10, seconds, train loss, 0.0536671528, validation loss:, 0.0475738814
epoch, 30, time used, 10, seconds, train loss, 0.0548668540, validation loss:, 0.0501600330
epoch, 31, time used, 10, seconds, train loss, 0.0546641949, validation loss:, 0.0446718938
epoch, 32, time used, 10, seconds, train loss, 0.0536164707, validation loss:, 0.0458152092
epoch, 33, time used, 10, seconds, train loss, 0.0529651489, validation loss:, 0.0480444081
epoch, 34, time used, 10, seconds, train loss, 0.0555913807, validation loss:, 0.0552722979
epoch, 35, time used, 10, seconds, train loss, 0.0555780538, validation loss:, 0.0447921230
epoch, 36, time used, 10, seconds, train loss, 0.0519061011, validation loss:, 0.0465986985
epoch, 37, time used, 10, seconds, train loss, 0.0523936175, validation loss:, 0.0469735202
epoch, 38, time used, 10, seconds, train loss, 0.0529703101, validation loss:, 0.0471924496
epoch, 39, time used, 10, seconds, train loss, 0.0507995452, validation loss:, 0.0466816703
epoch, 40, time used, 10, seconds, train loss, 0.0517537368, validation loss:, 0.0451291071
