epoch, 0, time used, 5, seconds, train loss, 0.2208953773, validation loss:, 0.1299757080
epoch, 1, time used, 3, seconds, train loss, 0.1456351492, validation loss:, 0.0914556163
epoch, 2, time used, 3, seconds, train loss, 0.1091219018, validation loss:, 0.0696005394
epoch, 3, time used, 3, seconds, train loss, 0.0950321403, validation loss:, 0.0661324078
epoch, 4, time used, 3, seconds, train loss, 0.0872502326, validation loss:, 0.0691934962
epoch, 5, time used, 3, seconds, train loss, 0.0838928870, validation loss:, 0.0608420335
epoch, 6, time used, 3, seconds, train loss, 0.0796690058, validation loss:, 0.0608746983
epoch, 7, time used, 3, seconds, train loss, 0.0754600842, validation loss:, 0.0559559409
epoch, 8, time used, 4, seconds, train loss, 0.0749651904, validation loss:, 0.0592553545
epoch, 9, time used, 3, seconds, train loss, 0.0715466034, validation loss:, 0.0559054581
epoch, 10, time used, 4, seconds, train loss, 0.0687985428, validation loss:, 0.0535940384
epoch, 11, time used, 4, seconds, train loss, 0.0688466269, validation loss:, 0.0533487130
epoch, 12, time used, 3, seconds, train loss, 0.0663033430, validation loss:, 0.0520271161
epoch, 13, time used, 4, seconds, train loss, 0.0672276203, validation loss:, 0.0512458770
epoch, 14, time used, 3, seconds, train loss, 0.0666067704, validation loss:, 0.0522983690
epoch, 15, time used, 4, seconds, train loss, 0.0642022206, validation loss:, 0.0521400930
epoch, 16, time used, 4, seconds, train loss, 0.0651613063, validation loss:, 0.0523542196
epoch, 17, time used, 4, seconds, train loss, 0.0612890646, validation loss:, 0.0533427943
epoch, 18, time used, 4, seconds, train loss, 0.0611632065, validation loss:, 0.0532398497
epoch, 19, time used, 4, seconds, train loss, 0.0609380777, validation loss:, 0.0484432230
epoch, 20, time used, 4, seconds, train loss, 0.0601953829, validation loss:, 0.0453712141
epoch, 21, time used, 5, seconds, train loss, 0.0593951633, validation loss:, 0.0489829946
epoch, 22, time used, 4, seconds, train loss, 0.0583414870, validation loss:, 0.0439054247
epoch, 23, time used, 4, seconds, train loss, 0.0578004853, validation loss:, 0.0443298433
epoch, 24, time used, 4, seconds, train loss, 0.0564828349, validation loss:, 0.0445436646
epoch, 25, time used, 4, seconds, train loss, 0.0570384670, validation loss:, 0.0472926386
epoch, 26, time used, 4, seconds, train loss, 0.0571540180, validation loss:, 0.0499934216
epoch, 27, time used, 4, seconds, train loss, 0.0577309957, validation loss:, 0.0475214036
epoch, 28, time used, 4, seconds, train loss, 0.0553366311, validation loss:, 0.0465058401
epoch, 29, time used, 3, seconds, train loss, 0.0546442895, validation loss:, 0.0471872943
epoch, 30, time used, 4, seconds, train loss, 0.0541225031, validation loss:, 0.0488419088
epoch, 31, time used, 4, seconds, train loss, 0.0544129045, validation loss:, 0.0413399641
epoch, 32, time used, 4, seconds, train loss, 0.0532046288, validation loss:, 0.0410007723
epoch, 33, time used, 4, seconds, train loss, 0.0528056706, validation loss:, 0.0452396141
epoch, 34, time used, 4, seconds, train loss, 0.0519383949, validation loss:, 0.0422708733
epoch, 35, time used, 4, seconds, train loss, 0.0518345006, validation loss:, 0.0404155711
epoch, 36, time used, 4, seconds, train loss, 0.0521391863, validation loss:, 0.0427609037
epoch, 37, time used, 4, seconds, train loss, 0.0507002195, validation loss:, 0.0397628273
epoch, 38, time used, 4, seconds, train loss, 0.0503724904, validation loss:, 0.0424675833
epoch, 39, time used, 4, seconds, train loss, 0.0506316036, validation loss:, 0.0416371068
epoch, 40, time used, 4, seconds, train loss, 0.0511877188, validation loss:, 0.0419359505
epoch, 41, time used, 4, seconds, train loss, 0.0488836428, validation loss:, 0.0456443025
epoch, 42, time used, 4, seconds, train loss, 0.0491678068, validation loss:, 0.0422969835
epoch, 43, time used, 4, seconds, train loss, 0.0495759898, validation loss:, 0.0402824044
epoch, 44, time used, 4, seconds, train loss, 0.0487200397, validation loss:, 0.0411276109
epoch, 45, time used, 4, seconds, train loss, 0.0477813154, validation loss:, 0.0450970384
epoch, 46, time used, 4, seconds, train loss, 0.0490864735, validation loss:, 0.0426756529
