epoch, 0, time used, 3, seconds, train loss, 0.4176983467, validation loss:, 0.2133337370
epoch, 1, time used, 2, seconds, train loss, 0.1641822544, validation loss:, 0.1415531551
epoch, 2, time used, 2, seconds, train loss, 0.1240511397, validation loss:, 0.1253546825
epoch, 3, time used, 2, seconds, train loss, 0.1091247821, validation loss:, 0.1136953970
epoch, 4, time used, 3, seconds, train loss, 0.0974680632, validation loss:, 0.1058423397
epoch, 5, time used, 3, seconds, train loss, 0.0911197046, validation loss:, 0.1049097914
epoch, 6, time used, 3, seconds, train loss, 0.0969581325, validation loss:, 0.1055941754
epoch, 7, time used, 3, seconds, train loss, 0.0921126343, validation loss:, 0.1067386190
epoch, 8, time used, 4, seconds, train loss, 0.0942709445, validation loss:, 0.0974918847
epoch, 9, time used, 3, seconds, train loss, 0.0906451604, validation loss:, 0.1021844844
epoch, 10, time used, 3, seconds, train loss, 0.0872608564, validation loss:, 0.0986706306
epoch, 11, time used, 3, seconds, train loss, 0.0904114321, validation loss:, 0.0928565413
epoch, 12, time used, 3, seconds, train loss, 0.0853725431, validation loss:, 0.0919337369
epoch, 13, time used, 4, seconds, train loss, 0.0828650627, validation loss:, 0.0938550329
epoch, 14, time used, 3, seconds, train loss, 0.0842311548, validation loss:, 0.0938119526
epoch, 15, time used, 4, seconds, train loss, 0.0855640911, validation loss:, 0.0915634686
epoch, 16, time used, 4, seconds, train loss, 0.0808850397, validation loss:, 0.0936989213
epoch, 17, time used, 4, seconds, train loss, 0.0808551028, validation loss:, 0.1076671118
epoch, 18, time used, 4, seconds, train loss, 0.0821493756, validation loss:, 0.0944764650
epoch, 19, time used, 4, seconds, train loss, 0.0766167249, validation loss:, 0.0902202628
epoch, 20, time used, 4, seconds, train loss, 0.0752831825, validation loss:, 0.0822109796
epoch, 21, time used, 5, seconds, train loss, 0.0740691553, validation loss:, 0.0835502567
epoch, 22, time used, 3, seconds, train loss, 0.0727760424, validation loss:, 0.0801288309
epoch, 23, time used, 3, seconds, train loss, 0.0733902561, validation loss:, 0.0798075594
epoch, 24, time used, 4, seconds, train loss, 0.0716107846, validation loss:, 0.0887964160
epoch, 25, time used, 4, seconds, train loss, 0.0731788441, validation loss:, 0.0805586451
epoch, 26, time used, 4, seconds, train loss, 0.0701349558, validation loss:, 0.0791851698
epoch, 27, time used, 3, seconds, train loss, 0.0702369557, validation loss:, 0.0863161996
epoch, 28, time used, 3, seconds, train loss, 0.0743542458, validation loss:, 0.0916797417
epoch, 29, time used, 3, seconds, train loss, 0.0683710945, validation loss:, 0.0805232001
epoch, 30, time used, 3, seconds, train loss, 0.0654024825, validation loss:, 0.0764634370
epoch, 31, time used, 4, seconds, train loss, 0.0693862159, validation loss:, 0.0809648955
epoch, 32, time used, 4, seconds, train loss, 0.0684943374, validation loss:, 0.0779183729
epoch, 33, time used, 4, seconds, train loss, 0.0651209712, validation loss:, 0.0766875619
epoch, 34, time used, 4, seconds, train loss, 0.0646242212, validation loss:, 0.0759010153
epoch, 35, time used, 4, seconds, train loss, 0.0688811421, validation loss:, 0.0733157512
epoch, 36, time used, 5, seconds, train loss, 0.0631232308, validation loss:, 0.0750934017
epoch, 37, time used, 4, seconds, train loss, 0.0657763879, validation loss:, 0.0756346590
epoch, 38, time used, 4, seconds, train loss, 0.0652422333, validation loss:, 0.0743145617
epoch, 39, time used, 4, seconds, train loss, 0.0621921399, validation loss:, 0.0730601103
epoch, 40, time used, 4, seconds, train loss, 0.0609806160, validation loss:, 0.0772004639
epoch, 41, time used, 4, seconds, train loss, 0.0629621448, validation loss:, 0.0720663087
epoch, 42, time used, 4, seconds, train loss, 0.0644930540, validation loss:, 0.0805894335
epoch, 43, time used, 4, seconds, train loss, 0.0659243297, validation loss:, 0.0796308352
epoch, 44, time used, 4, seconds, train loss, 0.0633279538, validation loss:, 0.0751617616
epoch, 45, time used, 4, seconds, train loss, 0.0606434169, validation loss:, 0.0733254732
epoch, 46, time used, 4, seconds, train loss, 0.0604382581, validation loss:, 0.0719035974
epoch, 47, time used, 4, seconds, train loss, 0.0653498533, validation loss:, 0.0768438477
epoch, 48, time used, 4, seconds, train loss, 0.0618596298, validation loss:, 0.0714515663
epoch, 49, time used, 4, seconds, train loss, 0.0620666185, validation loss:, 0.0772656469
epoch, 50, time used, 4, seconds, train loss, 0.0612728200, validation loss:, 0.0707954235
epoch, 51, time used, 4, seconds, train loss, 0.0612895620, validation loss:, 0.0787258101
epoch, 52, time used, 5, seconds, train loss, 0.0593603243, validation loss:, 0.0739992242
epoch, 53, time used, 4, seconds, train loss, 0.0617228793, validation loss:, 0.0757829488
epoch, 54, time used, 5, seconds, train loss, 0.0650505970, validation loss:, 0.0773726325
epoch, 55, time used, 5, seconds, train loss, 0.0606140418, validation loss:, 0.0729655693
epoch, 56, time used, 4, seconds, train loss, 0.0601843848, validation loss:, 0.0836794219
epoch, 57, time used, 4, seconds, train loss, 0.0604942017, validation loss:, 0.0707919030
epoch, 58, time used, 3, seconds, train loss, 0.0587065371, validation loss:, 0.0729945040
epoch, 59, time used, 3, seconds, train loss, 0.0607058252, validation loss:, 0.0750095428
epoch, 60, time used, 4, seconds, train loss, 0.0585809828, validation loss:, 0.0700183962
epoch, 61, time used, 4, seconds, train loss, 0.0576611298, validation loss:, 0.0754487312
epoch, 62, time used, 4, seconds, train loss, 0.0571510461, validation loss:, 0.0743843534
epoch, 63, time used, 4, seconds, train loss, 0.0566967676, validation loss:, 0.0691683450
epoch, 64, time used, 4, seconds, train loss, 0.0584247151, validation loss:, 0.0715178177
epoch, 65, time used, 4, seconds, train loss, 0.0582043509, validation loss:, 0.0750148413
epoch, 66, time used, 4, seconds, train loss, 0.0586579388, validation loss:, 0.0842454679
epoch, 67, time used, 5, seconds, train loss, 0.0577934635, validation loss:, 0.0681974844
epoch, 68, time used, 5, seconds, train loss, 0.0562566550, validation loss:, 0.0705005124
epoch, 69, time used, 4, seconds, train loss, 0.0596880868, validation loss:, 0.0710293681
epoch, 70, time used, 3, seconds, train loss, 0.0555175963, validation loss:, 0.0678379709
epoch, 71, time used, 4, seconds, train loss, 0.0570436198, validation loss:, 0.0709571621
