event typhoon
flow_type inflow
flow_path ../data/inflow_hour20180101_20210228.npy
adj_path ../data/adjacency_matrix.npy
twitter_path ../data/Japan_2019Hurricane_Total_tweet_count.csv
pref_path ../data/Japan_prefectures.csv
freq 1H
flow_start_date 2018-01-01 00:00:00
flow_end_date 2021-02-28 23:59:59
twitter_start_date 2019-06-30 09:00:00
twitter_end_date 2019-10-31 08:00:00
target_start_date 2019-07-01 00:00:00
target_end_date 2019-10-30 23:00:00
target_area ['Hokkaido', 'Aomori', 'Iwate', 'Miyagi', 'Akita', 'Yamagata', 'Fukushima', 'Ibaraki', 'Tochigi', 'Gunma', 'Saitama', 'Chiba', 'Tokyo', 'Kanagawa', 'Niigata', 'Toyama', 'Ishikawa', 'Fukui', 'Yamanashi', 'Nagano', 'Gifu', 'Shizuoka', 'Aichi', 'Mie', 'Shiga', 'Kyoto', 'Osaka', 'Hyogo', 'Nara', 'Wakayama', 'Tottori', 'Shimane', 'Okayama', 'Hiroshima', 'Yamaguchi', 'Tokushima', 'Kagawa', 'Ehime', 'Kochi', 'Fukuoka', 'Saga', 'Nagasaki', 'Kumamoto', 'Oita', 'Miyazaki', 'Kagoshima', 'Okinawa']
model_name MemoryAGCRN
original flow data, flow.min, flow.max, onehottime (2928, 47) 104.0 175854.0 (2928, 32)
flow.shape, twitter.shape (2928, 47) -1.0 1.0000000000000002 (2928, 47) -1.0 1.0
typhoon-inflow training started Tue Nov  9 23:46:18 2021
TRAIN XS.shape YS,shape (2333, 6, 47, 2) (2333, 6, 47, 1) (2333, 12, 32)
Model Training Started ... Tue Nov  9 23:46:18 2021
TIMESTEP_IN, TIMESTEP_OUT 6 6
XS_torch.shape:   torch.Size([2333, 6, 47, 2])
YS_torch.shape:   torch.Size([2333, 6, 47, 1])
epoch 0 time used: 4  seconds  train loss: 1.7204932018714063 validation loss: 1.0020943488160226
epoch 1 time used: 4  seconds  train loss: 0.760091362441179 validation loss: 0.9491227963199355
epoch 2 time used: 3  seconds  train loss: 0.547762883091191 validation loss: 0.4212135080605337
epoch 3 time used: 4  seconds  train loss: 0.36280240013709814 validation loss: 0.23040558275294631
epoch 4 time used: 3  seconds  train loss: 0.27857111354362224 validation loss: 0.19354044288805086
epoch 5 time used: 3  seconds  train loss: 0.24731368562574044 validation loss: 0.168402860017672
epoch 6 time used: 4  seconds  train loss: 0.23680259750835414 validation loss: 0.15169519288082645
epoch 7 time used: 4  seconds  train loss: 0.18236684788970556 validation loss: 0.14191335837726723
epoch 8 time used: 4  seconds  train loss: 0.2162465343412636 validation loss: 0.13835915821055844
epoch 9 time used: 4  seconds  train loss: 0.12121213192153209 validation loss: 0.13208091279415235
epoch 10 time used: 4  seconds  train loss: 0.11804748250287625 validation loss: 0.133632022019935
epoch 11 time used: 4  seconds  train loss: 0.1154989254191782 validation loss: 0.12829705266511604
epoch 12 time used: 4  seconds  train loss: 0.11288248648757318 validation loss: 0.12822011062135436
epoch 13 time used: 4  seconds  train loss: 0.11244759899486877 validation loss: 0.12468856818055453
epoch 14 time used: 4  seconds  train loss: 0.10854744240258202 validation loss: 0.12477898005753348
epoch 15 time used: 3  seconds  train loss: 0.10752712850011097 validation loss: 0.12265607837128313
epoch 16 time used: 3  seconds  train loss: 0.10615085463666316 validation loss: 0.12204110397867961
epoch 17 time used: 3  seconds  train loss: 0.10448930608060716 validation loss: 0.12244818737245586
epoch 18 time used: 4  seconds  train loss: 0.10295676753103836 validation loss: 0.11970798456913805
epoch 19 time used: 3  seconds  train loss: 0.10199400941053753 validation loss: 0.12070103765350498
epoch 20 time used: 4  seconds  train loss: 0.1010354951092214 validation loss: 0.11928155354849279
epoch 21 time used: 3  seconds  train loss: 0.1010175868996625 validation loss: 0.11688593254513936
epoch 22 time used: 4  seconds  train loss: 0.09830138449790889 validation loss: 0.11811269697261183
epoch 23 time used: 4  seconds  train loss: 0.09769383763810306 validation loss: 0.11756341506357063
epoch 24 time used: 4  seconds  train loss: 0.09677837243364361 validation loss: 0.11630178314365752
epoch 25 time used: 3  seconds  train loss: 0.09634049373091529 validation loss: 0.11452738001738509
epoch 26 time used: 4  seconds  train loss: 0.09381792711795842 validation loss: 0.11494893407168454
epoch 27 time used: 4  seconds  train loss: 0.09319821150047974 validation loss: 0.11423152001344994
epoch 28 time used: 4  seconds  train loss: 0.09265581235127697 validation loss: 0.11391894192728277
epoch 29 time used: 3  seconds  train loss: 0.09341830155333497 validation loss: 0.11530351046830008
epoch 30 time used: 3  seconds  train loss: 0.09139115604896283 validation loss: 0.11143235576479402
epoch 31 time used: 4  seconds  train loss: 0.09037198276690854 validation loss: 0.1144046469094002
epoch 32 time used: 4  seconds  train loss: 0.08979525311017732 validation loss: 0.10989099363349888
epoch 33 time used: 4  seconds  train loss: 0.08886409601598143 validation loss: 0.10888088902790252
epoch 34 time used: 3  seconds  train loss: 0.08865279472167319 validation loss: 0.1079232997886122
