event typhoon
flow_type outflow
flow_path ../data/outflow_hour20180101_20210228.npy
adj_path ../data/adjacency_matrix.npy
twitter_path ../data/Japan_2019Hurricane_Total_tweet_count.csv
pref_path ../data/Japan_prefectures.csv
freq 1H
flow_start_date 2018-01-01 00:00:00
flow_end_date 2021-02-28 23:59:59
twitter_start_date 2019-06-30 09:00:00
twitter_end_date 2019-10-31 08:00:00
target_start_date 2019-07-01 00:00:00
target_end_date 2019-10-30 23:00:00
target_area ['Hokkaido', 'Aomori', 'Iwate', 'Miyagi', 'Akita', 'Yamagata', 'Fukushima', 'Ibaraki', 'Tochigi', 'Gunma', 'Saitama', 'Chiba', 'Tokyo', 'Kanagawa', 'Niigata', 'Toyama', 'Ishikawa', 'Fukui', 'Yamanashi', 'Nagano', 'Gifu', 'Shizuoka', 'Aichi', 'Mie', 'Shiga', 'Kyoto', 'Osaka', 'Hyogo', 'Nara', 'Wakayama', 'Tottori', 'Shimane', 'Okayama', 'Hiroshima', 'Yamaguchi', 'Tokushima', 'Kagawa', 'Ehime', 'Kochi', 'Fukuoka', 'Saga', 'Nagasaki', 'Kumamoto', 'Oita', 'Miyazaki', 'Kagoshima', 'Okinawa']
model_name MemoryAGCRN
original flow data, flow.min, flow.max, onehottime (2928, 47) 101.0 193040.0 (2928, 32)
flow.shape, twitter.shape (2928, 47) -1.0 1.0000000000000002 (2928, 47) -1.0 1.0
typhoon-outflow training started Tue Nov  9 23:59:20 2021
TRAIN XS.shape YS,shape (2333, 6, 47, 2) (2333, 6, 47, 1) (2333, 12, 32)
Model Training Started ... Tue Nov  9 23:59:20 2021
TIMESTEP_IN, TIMESTEP_OUT 6 6
XS_torch.shape:   torch.Size([2333, 6, 47, 2])
YS_torch.shape:   torch.Size([2333, 6, 47, 1])
epoch 0 time used: 4  seconds  train loss: 1.7197749432050684 validation loss: 1.0023251706606722
epoch 1 time used: 4  seconds  train loss: 0.7597436377019321 validation loss: 0.5698278015607023
epoch 2 time used: 3  seconds  train loss: 0.5310078242153627 validation loss: 0.4257544352583689
epoch 3 time used: 3  seconds  train loss: 0.387777771121301 validation loss: 0.2313203119660077
epoch 4 time used: 4  seconds  train loss: 0.2808313348877423 validation loss: 0.19628564196906678
epoch 5 time used: 4  seconds  train loss: 0.22569173542924306 validation loss: 0.17050358836781487
epoch 6 time used: 3  seconds  train loss: 0.23087173375727588 validation loss: 0.15283690944109876
epoch 7 time used: 4  seconds  train loss: 0.21744024715231378 validation loss: 0.14437484720798388
epoch 8 time used: 4  seconds  train loss: 0.20853534623716408 validation loss: 0.14230478320219744
epoch 9 time used: 4  seconds  train loss: 0.15640000811537857 validation loss: 0.13276615738868713
epoch 10 time used: 3  seconds  train loss: 0.1700877845287323 validation loss: 0.13502963173062835
epoch 11 time used: 3  seconds  train loss: 0.11721417472712171 validation loss: 0.13040963233741995
epoch 12 time used: 4  seconds  train loss: 0.11482667852259146 validation loss: 0.12955129269051224
epoch 13 time used: 4  seconds  train loss: 0.11358563852453314 validation loss: 0.1261156297301593
epoch 14 time used: 4  seconds  train loss: 0.11013221302378035 validation loss: 0.12650094069030188
epoch 15 time used: 4  seconds  train loss: 0.10912297656275055 validation loss: 0.12416259536187943
epoch 16 time used: 4  seconds  train loss: 0.10761948083641872 validation loss: 0.12383160831993573
epoch 17 time used: 3  seconds  train loss: 0.10608212005724016 validation loss: 0.12407937319311377
epoch 18 time used: 4  seconds  train loss: 0.10444469881984696 validation loss: 0.12138782768216852
epoch 19 time used: 4  seconds  train loss: 0.10356415010319907 validation loss: 0.12224245969563315
