event hurricane
flow_type poi
flow_path ../data/poi_hour20190601_20191030.npy
adj_path ../data/FL_county_adj_mtx.npy
twitter_path ../data/US_2019Hurricane_FL_all_tweet_count_by_county.csv
pref_path ../data/Florida_counties.csv
freq 1H
flow_start_date 2019-06-01 00:00:00
flow_end_date 2019-10-30 23:59:59
twitter_start_date 2019-05-28 19:00:00
twitter_end_date 2019-11-01 18:00:00
target_start_date 2019-07-01 00:00:00
target_end_date 2019-09-10 23:00:00
target_area ['Alachua', 'Baker', 'Bay', 'Bradford', 'Brevard', 'Broward', 'Calhoun', 'Charlotte', 'Citrus', 'Clay', 'Collier', 'Columbia', 'DeSoto', 'Dixie', 'Duval', 'Escambia', 'Flagler', 'Franklin', 'Gadsden', 'Gilchrist', 'Glades', 'Gulf', 'Hamilton', 'Hardee', 'Hendry', 'Hernando', 'Highlands', 'Hillsborough', 'Holmes', 'Indian River', 'Jackson', 'Jefferson', 'Lafayette', 'Lake', 'Lee', 'Leon', 'Levy', 'Liberty', 'Madison', 'Manatee', 'Marion', 'Martin', 'Miami-Dade', 'Monroe', 'Nassau', 'Okaloosa', 'Okeechobee', 'Orange', 'Osceola', 'Palm Beach', 'Pasco', 'Pinellas', 'Polk', 'Putnam', 'Santa Rosa', 'Sarasota', 'Seminole', 'St. Johns', 'St. Lucie', 'Sumter', 'Suwannee', 'Taylor', 'Union', 'Volusia', 'Wakulla', 'Walton', 'Washington']
model_name MemoryAGCRN
lambda 0.1
original flow data, flow.min, flow.max, onehottime (1728, 67) 0.0 49808.0 (1728, 32)
flow.shape, twitter.shape (1728, 67) -1.0 1.0000000000000002 (1728, 67) -1.0 1.0
hurricane-poi training started Tue Oct 11 01:38:50 2022
TRAIN XS.shape YS,shape (1373, 6, 67, 2) (1373, 6, 67, 1) (1373, 12, 32)
Model Training Started ... Tue Oct 11 01:38:50 2022
TIMESTEP_IN, TIMESTEP_OUT 6 6
XS_torch.shape:   torch.Size([1373, 6, 67, 2])
YS_torch.shape:   torch.Size([1373, 6, 67, 1])
epoch 0 time used: 2  seconds  train loss: 0.8281492930922958 validation loss: 0.7242641726205515
epoch 1 time used: 1  seconds  train loss: 0.6141572355992361 validation loss: 0.55236297707225
epoch 2 time used: 1  seconds  train loss: 0.47372848093799297 validation loss: 0.47776886197023616
epoch 3 time used: 1  seconds  train loss: 0.40434636009098607 validation loss: 0.3950828618781511
epoch 4 time used: 1  seconds  train loss: 0.3020864416083974 validation loss: 0.2799321974432746
epoch 5 time used: 1  seconds  train loss: 0.2338803598496147 validation loss: 0.25478050944417024
epoch 6 time used: 1  seconds  train loss: 0.21062196720214116 validation loss: 0.2354453379331633
epoch 7 time used: 1  seconds  train loss: 0.19629757530603512 validation loss: 0.22172624600488086
epoch 8 time used: 1  seconds  train loss: 0.18382587356979807 validation loss: 0.20763914113820986
epoch 9 time used: 1  seconds  train loss: 0.1680991429078915 validation loss: 0.20252422641876133
epoch 10 time used: 1  seconds  train loss: 0.15282933322026732 validation loss: 0.18408963292144065
epoch 11 time used: 1  seconds  train loss: 0.1429650445113029 validation loss: 0.1764191995526469
epoch 12 time used: 1  seconds  train loss: 0.13525089163937767 validation loss: 0.17271504672460777
epoch 13 time used: 1  seconds  train loss: 0.13186949939694187 validation loss: 0.1784953613613927
epoch 14 time used: 1  seconds  train loss: 0.12829902191059003 validation loss: 0.1664081371800844
epoch 15 time used: 1  seconds  train loss: 0.1265566980772162 validation loss: 0.16434953101845676
epoch 16 time used: 1  seconds  train loss: 0.12474619536375513 validation loss: 0.16547165117984594
epoch 17 time used: 1  seconds  train loss: 0.12279022109230475 validation loss: 0.16352782935597177
epoch 18 time used: 2  seconds  train loss: 0.12188906443420258 validation loss: 0.16674144288828208
epoch 19 time used: 2  seconds  train loss: 0.12250538058108329 validation loss: 0.16230209795541542
epoch 20 time used: 1  seconds  train loss: 0.12029522863027538 validation loss: 0.1571264454098635
epoch 21 time used: 1  seconds  train loss: 0.11927149072651497 validation loss: 0.16079942916714868
