event hurricane
flow_type poi
flow_path ../data/poi_hour20190601_20191030.npy
adj_path ../data/FL_county_adj_mtx.npy
twitter_path ../data/US_2019Hurricane_FL_all_tweet_count_by_county.csv
pref_path ../data/Florida_counties.csv
freq 1H
flow_start_date 2019-06-01 00:00:00
flow_end_date 2019-10-30 23:59:59
twitter_start_date 2019-05-28 19:00:00
twitter_end_date 2019-11-01 18:00:00
target_start_date 2019-07-01 00:00:00
target_end_date 2019-09-10 23:00:00
target_area ['Alachua', 'Baker', 'Bay', 'Bradford', 'Brevard', 'Broward', 'Calhoun', 'Charlotte', 'Citrus', 'Clay', 'Collier', 'Columbia', 'DeSoto', 'Dixie', 'Duval', 'Escambia', 'Flagler', 'Franklin', 'Gadsden', 'Gilchrist', 'Glades', 'Gulf', 'Hamilton', 'Hardee', 'Hendry', 'Hernando', 'Highlands', 'Hillsborough', 'Holmes', 'Indian River', 'Jackson', 'Jefferson', 'Lafayette', 'Lake', 'Lee', 'Leon', 'Levy', 'Liberty', 'Madison', 'Manatee', 'Marion', 'Martin', 'Miami-Dade', 'Monroe', 'Nassau', 'Okaloosa', 'Okeechobee', 'Orange', 'Osceola', 'Palm Beach', 'Pasco', 'Pinellas', 'Polk', 'Putnam', 'Santa Rosa', 'Sarasota', 'Seminole', 'St. Johns', 'St. Lucie', 'Sumter', 'Suwannee', 'Taylor', 'Union', 'Volusia', 'Wakulla', 'Walton', 'Washington']
model_name MemoryAGCRN
lambda 0.0
original flow data, flow.min, flow.max, onehottime (1728, 67) 0.0 49808.0 (1728, 32)
flow.shape, twitter.shape (1728, 67) -1.0 1.0000000000000002 (1728, 67) -1.0 1.0
hurricane-poi training started Tue Oct 11 01:39:27 2022
TRAIN XS.shape YS,shape (1373, 6, 67, 2) (1373, 6, 67, 1) (1373, 12, 32)
Model Training Started ... Tue Oct 11 01:39:27 2022
TIMESTEP_IN, TIMESTEP_OUT 6 6
XS_torch.shape:   torch.Size([1373, 6, 67, 2])
YS_torch.shape:   torch.Size([1373, 6, 67, 1])
epoch 0 time used: 2  seconds  train loss: 0.7757625268777675 validation loss: 0.6777710665104001
epoch 1 time used: 1  seconds  train loss: 0.5634813676248834 validation loss: 0.5024068646652754
epoch 2 time used: 1  seconds  train loss: 0.4319766644602035 validation loss: 0.43254019285357276
epoch 3 time used: 2  seconds  train loss: 0.3622015386501253 validation loss: 0.34691996144693954
epoch 4 time used: 2  seconds  train loss: 0.2541800398231132 validation loss: 0.2591325100078139
epoch 5 time used: 2  seconds  train loss: 0.20945174485242285 validation loss: 0.23171759552733842
epoch 6 time used: 1  seconds  train loss: 0.18971546049310353 validation loss: 0.2158528718837472
epoch 7 time used: 1  seconds  train loss: 0.1759827390848953 validation loss: 0.20216939858225888
epoch 8 time used: 1  seconds  train loss: 0.16302166102984442 validation loss: 0.18748183929642967
epoch 9 time used: 1  seconds  train loss: 0.14634684069974546 validation loss: 0.17469283522561538
epoch 10 time used: 1  seconds  train loss: 0.13199617259703988 validation loss: 0.16778958051703696
epoch 11 time used: 1  seconds  train loss: 0.1243651546356861 validation loss: 0.15959748902986215
epoch 12 time used: 1  seconds  train loss: 0.11818105073607697 validation loss: 0.15668841780618178
epoch 13 time used: 2  seconds  train loss: 0.1159762428282417 validation loss: 0.15536882399126542
epoch 14 time used: 2  seconds  train loss: 0.11203343479145604 validation loss: 0.15237224621828213
epoch 15 time used: 2  seconds  train loss: 0.11099257640200291 validation loss: 0.14995376661766407
epoch 16 time used: 1  seconds  train loss: 0.1093273200203309 validation loss: 0.15106454699538474
epoch 17 time used: 2  seconds  train loss: 0.1081811377834764 validation loss: 0.1505377050056014
epoch 18 time used: 2  seconds  train loss: 0.10795971994497339 validation loss: 0.1517744258392689
epoch 19 time used: 2  seconds  train loss: 0.10799918396161295 validation loss: 0.1493986349466235
epoch 20 time used: 2  seconds  train loss: 0.1063816338285181 validation loss: 0.14430635855641477
epoch 21 time used: 2  seconds  train loss: 0.10504873437975308 validation loss: 0.14796422595201536
epoch 22 time used: 2  seconds  train loss: 0.10415544727974661 validation loss: 0.1471234480308932
epoch 23 time used: 2  seconds  train loss: 0.10355531587197551 validation loss: 0.14586739172769148
epoch 24 time used: 2  seconds  train loss: 0.10264824775379763 validation loss: 0.14620472975941592
epoch 25 time used: 2  seconds  train loss: 0.10180501754244516 validation loss: 0.14332445936147556
epoch 26 time used: 2  seconds  train loss: 0.1026448803013453 validation loss: 0.14341706557329312
epoch 27 time used: 2  seconds  train loss: 0.10192508914438235 validation loss: 0.14051725178263907
epoch 28 time used: 2  seconds  train loss: 0.0999592399573998 validation loss: 0.14081115535525388
epoch 29 time used: 2  seconds  train loss: 0.0993054451093266 validation loss: 0.14041772658048673
epoch 30 time used: 2  seconds  train loss: 0.09796057213586551 validation loss: 0.13689740036809167
epoch 31 time used: 2  seconds  train loss: 0.09869446168835587 validation loss: 0.14002416230911433
epoch 32 time used: 2  seconds  train loss: 0.0970987021213486 validation loss: 0.1433015677124955
epoch 33 time used: 2  seconds  train loss: 0.09655772843212614 validation loss: 0.13751940949018612
epoch 34 time used: 2  seconds  train loss: 0.09478316758012632 validation loss: 0.13681873367276304
epoch 35 time used: 2  seconds  train loss: 0.0946266006957106 validation loss: 0.14172290334867876
