epoch, 0, time used, 2, seconds, train loss, 0.7755296258, validation loss:, 0.6738176332
epoch, 1, time used, 1, seconds, train loss, 0.5353081355, validation loss:, 0.4393817720
epoch, 2, time used, 1, seconds, train loss, 0.3278881895, validation loss:, 0.2910025660
epoch, 3, time used, 1, seconds, train loss, 0.2313474681, validation loss:, 0.2416187955
epoch, 4, time used, 1, seconds, train loss, 0.1979086616, validation loss:, 0.2173400740
epoch, 5, time used, 2, seconds, train loss, 0.1760186234, validation loss:, 0.2022941064
epoch, 6, time used, 2, seconds, train loss, 0.1608375654, validation loss:, 0.1859039806
epoch, 7, time used, 2, seconds, train loss, 0.1453548122, validation loss:, 0.1721310103
epoch, 8, time used, 2, seconds, train loss, 0.1311768377, validation loss:, 0.1659083037
epoch, 9, time used, 1, seconds, train loss, 0.1232176191, validation loss:, 0.1607395795
epoch, 10, time used, 1, seconds, train loss, 0.1165732087, validation loss:, 0.1530737322
epoch, 11, time used, 1, seconds, train loss, 0.1124194519, validation loss:, 0.1538765347
epoch, 12, time used, 2, seconds, train loss, 0.1100012254, validation loss:, 0.1483565363
epoch, 13, time used, 2, seconds, train loss, 0.1079345243, validation loss:, 0.1529536954
epoch, 14, time used, 2, seconds, train loss, 0.1062184931, validation loss:, 0.1467005351
epoch, 15, time used, 2, seconds, train loss, 0.1039200593, validation loss:, 0.1421540778
epoch, 16, time used, 2, seconds, train loss, 0.1024868320, validation loss:, 0.1441602430
epoch, 17, time used, 2, seconds, train loss, 0.1000192483, validation loss:, 0.1401253055
epoch, 18, time used, 2, seconds, train loss, 0.0977997799, validation loss:, 0.1418331408
epoch, 19, time used, 2, seconds, train loss, 0.0971748754, validation loss:, 0.1376314790
epoch, 20, time used, 2, seconds, train loss, 0.0946804562, validation loss:, 0.1350617301
epoch, 21, time used, 2, seconds, train loss, 0.0945063729, validation loss:, 0.1402479726
epoch, 22, time used, 1, seconds, train loss, 0.0937480118, validation loss:, 0.1346056862
epoch, 23, time used, 1, seconds, train loss, 0.0922198933, validation loss:, 0.1352575071
epoch, 24, time used, 1, seconds, train loss, 0.0913106193, validation loss:, 0.1399472501
epoch, 25, time used, 2, seconds, train loss, 0.0928513898, validation loss:, 0.1327819956
epoch, 26, time used, 1, seconds, train loss, 0.0915675352, validation loss:, 0.1378021223
epoch, 27, time used, 2, seconds, train loss, 0.0903493638, validation loss:, 0.1328596168
epoch, 28, time used, 2, seconds, train loss, 0.0899789912, validation loss:, 0.1300012164
epoch, 29, time used, 2, seconds, train loss, 0.0901654502, validation loss:, 0.1329364510
epoch, 30, time used, 2, seconds, train loss, 0.0886280720, validation loss:, 0.1324396293
epoch, 31, time used, 2, seconds, train loss, 0.0887135764, validation loss:, 0.1311527754
epoch, 32, time used, 2, seconds, train loss, 0.0886706592, validation loss:, 0.1367561003
epoch, 33, time used, 2, seconds, train loss, 0.0875258221, validation loss:, 0.1328180543
epoch, 34, time used, 2, seconds, train loss, 0.0860818571, validation loss:, 0.1319078654
epoch, 35, time used, 2, seconds, train loss, 0.0860493828, validation loss:, 0.1356394561
epoch, 36, time used, 2, seconds, train loss, 0.0855190912, validation loss:, 0.1286297711
epoch, 37, time used, 2, seconds, train loss, 0.0848363221, validation loss:, 0.1343064027
epoch, 38, time used, 2, seconds, train loss, 0.0860046021, validation loss:, 0.1281199421
epoch, 39, time used, 2, seconds, train loss, 0.0835569739, validation loss:, 0.1256769568
epoch, 40, time used, 2, seconds, train loss, 0.0837913273, validation loss:, 0.1365025016
epoch, 41, time used, 2, seconds, train loss, 0.0849197941, validation loss:, 0.1300426474
epoch, 42, time used, 2, seconds, train loss, 0.0830285293, validation loss:, 0.1280852146
epoch, 43, time used, 2, seconds, train loss, 0.0825626100, validation loss:, 0.1272636607
epoch, 44, time used, 2, seconds, train loss, 0.0819604108, validation loss:, 0.1260874812
epoch, 45, time used, 1, seconds, train loss, 0.0816023991, validation loss:, 0.1267522833
epoch, 46, time used, 2, seconds, train loss, 0.0833730923, validation loss:, 0.1272727485
epoch, 47, time used, 1, seconds, train loss, 0.0813980211, validation loss:, 0.1248391388
epoch, 48, time used, 1, seconds, train loss, 0.0814775983, validation loss:, 0.1227958230
epoch, 49, time used, 1, seconds, train loss, 0.0796979727, validation loss:, 0.1250939404
epoch, 50, time used, 2, seconds, train loss, 0.0797394810, validation loss:, 0.1277603455
epoch, 51, time used, 2, seconds, train loss, 0.0799192617, validation loss:, 0.1261049850
epoch, 52, time used, 1, seconds, train loss, 0.0792783415, validation loss:, 0.1252555868
epoch, 53, time used, 1, seconds, train loss, 0.0784886907, validation loss:, 0.1255510370
epoch, 54, time used, 1, seconds, train loss, 0.0781427454, validation loss:, 0.1246051366
epoch, 55, time used, 1, seconds, train loss, 0.0787327031, validation loss:, 0.1252205031
epoch, 56, time used, 1, seconds, train loss, 0.0782671633, validation loss:, 0.1241501939
epoch, 57, time used, 2, seconds, train loss, 0.0774679797, validation loss:, 0.1203561966
epoch, 58, time used, 1, seconds, train loss, 0.0768335438, validation loss:, 0.1229408763
epoch, 59, time used, 2, seconds, train loss, 0.0761952403, validation loss:, 0.1225803321
epoch, 60, time used, 2, seconds, train loss, 0.0765857861, validation loss:, 0.1281643153
epoch, 61, time used, 1, seconds, train loss, 0.0775777146, validation loss:, 0.1228391500
epoch, 62, time used, 2, seconds, train loss, 0.0753311947, validation loss:, 0.1209037869
epoch, 63, time used, 1, seconds, train loss, 0.0758275985, validation loss:, 0.1206618513
epoch, 64, time used, 2, seconds, train loss, 0.0748179581, validation loss:, 0.1260483793
epoch, 65, time used, 2, seconds, train loss, 0.0733595532, validation loss:, 0.1176299255
epoch, 66, time used, 2, seconds, train loss, 0.0717605255, validation loss:, 0.1150754597
epoch, 67, time used, 2, seconds, train loss, 0.0721098821, validation loss:, 0.1174666246
epoch, 68, time used, 2, seconds, train loss, 0.0701034576, validation loss:, 0.1174283984
epoch, 69, time used, 2, seconds, train loss, 0.0696038646, validation loss:, 0.1153186832
epoch, 70, time used, 2, seconds, train loss, 0.0683680623, validation loss:, 0.1146779079
epoch, 71, time used, 2, seconds, train loss, 0.0687918655, validation loss:, 0.1126485536
epoch, 72, time used, 2, seconds, train loss, 0.0676248308, validation loss:, 0.1162583509
epoch, 73, time used, 1, seconds, train loss, 0.0669993571, validation loss:, 0.1114175902
epoch, 74, time used, 1, seconds, train loss, 0.0668725320, validation loss:, 0.1081131740
epoch, 75, time used, 1, seconds, train loss, 0.0669178298, validation loss:, 0.1135658993
epoch, 76, time used, 1, seconds, train loss, 0.0664542819, validation loss:, 0.1132413159
epoch, 77, time used, 1, seconds, train loss, 0.0652320701, validation loss:, 0.1105711373
epoch, 78, time used, 1, seconds, train loss, 0.0646596983, validation loss:, 0.1118896118
epoch, 79, time used, 1, seconds, train loss, 0.0644310842, validation loss:, 0.1107353639
epoch, 80, time used, 1, seconds, train loss, 0.0642748180, validation loss:, 0.1105803757
epoch, 81, time used, 1, seconds, train loss, 0.0640660976, validation loss:, 0.1091232859
epoch, 82, time used, 1, seconds, train loss, 0.0651925785, validation loss:, 0.1096903020
epoch, 83, time used, 1, seconds, train loss, 0.0637576863, validation loss:, 0.1082251909
