event,mem_num,mem_dim,MSE,RMSE,MAE,MAPE
typhoon-inflow,10,8,6103551,2470.537,805.7747,9.618231
typhoon-outflow,10,8,6204813.987,2490.946404,822.114083,9.868193384
covid-inflow,10,8,1266467.697,1125.37447,438.790172,9.67931712
covid-outflow,10,8,1165559.91,1079.610999,423.9681687,9.597111617
typhoon-inflow,5,8,7988882.938,2826.461204,948.9174923,11.72146224
typhoon-outflow,5,8,7949155.781,2819.424725,957.5031357,11.72816027
covid-inflow,5,8,1342754.191,1158.772709,446.9271421,9.863471071
covid-outflow,5,8,1269842.159,1126.872734,433.2668437,9.122379508
typhoon-inflow,15,8,9444283.283,3073.155265,1027.765107,13.6184339
typhoon-outflow,15,8,7273617.005,2696.964406,890.6476437,12.29372526
covid-inflow,15,8,8322224.293,2884.826562,1404.638624,36.38992999
covid-outflow,15,8,8009086.337,2830.032921,1399.241023,35.45754321
typhoon-inflow,20,8,27665122.35,5259.764477,2149.311884,33.76093874
typhoon-outflow,20,8,27133645.39,5208.996582,2185.563901,32.86275912
covid-inflow,20,8,1394749.928,1180.995313,460.7966143,9.63854023
covid-outflow,20,8,1422114.132,1192.524269,459.2537776,9.391759178
typhoon-inflow,10,4,7007880,2647.240072,876.6090456,11.36012652
typhoon-outflow,10,4,5874694.314,2423.77687,798.6472945,10.84317343
covid-inflow,10,4,1535726.876,1239.244478,469.6662756,9.821760556
covid-outflow,10,4,1166753.652,1080.163715,423.5585204,9.60118249
typhoon-inflow,10,16,7623213.232,2761.016703,931.9578276,11.15485279
typhoon-outflow,10,16,7277898.858,2697.758117,926.6468475,11.16835824
covid-inflow,10,16,1576027.254,1255.399241,481.6121936,10.72846363
covid-outflow,10,16,1525933.534,1235.286823,481.2025356,10.7426635
typhoon-inflow,10,32,7806729.321,2794.052491,926.6506977,12.02805119
typhoon-outflow,10,32,6337123.543,2517.364404,811.6379488,9.789913946
covid-inflow,10,32,1550086.687,1245.024774,472.9748589,11.26594984
covid-outflow,10,32,1727655.363,1314.403045,511.5513347,11.45647872
