event,timestep,flag,flag1,MSE,RMSE,MAE,MAPE
typhoon-inflow,6,average,average,6103551,2470.537,805.7747,9.618231
typhoon-outflow,6,average,average,6204813.987,2490.946404,822.114083,9.868193384
covid-inflow,6,average,average,1266467.697,1125.37447,438.790172,9.67931712
covid-outflow,6,average,average,1165559.91,1079.610999,423.9681687,9.597111617
typhoon-inflow,3,average,average,4164247.563,2040.648809,724.5178382,9.735703502
typhoon-outflow,3,average,average,4255124.101,2062.795215,724.6622312,9.7108943
covid-inflow,3,average,average,1210221.146,1100.100516,420.9416645,10.84194716
covid-outflow,3,average,average,1168251.66,1080.85691,414.2193927,10.6367051
typhoon-inflow,9,average,average,8992761.925,2998.793411,935.4791796,11.65149512
typhoon-outflow,9,average,average,8239960.02,2870.533055,899.3355217,11.73884226
covid-inflow,9,average,average,1331504.835,1153.908504,451.8400104,11.22562985
covid-outflow,9,average,average,1278780.72,1130.831871,453.2980447,11.14129467
typhoon-inflow,12,average,average,13383521.71,3658.349589,1105.298598,13.84270793
typhoon-outflow,12,average,average,12927050.03,3595.420703,1111.136128,13.4907729
covid-inflow,12,average,average,1335214.4,1155.514777,459.4386085,11.53821621
covid-outflow,12,average,average,1293291.294,1137.229658,458.9049181,11.19358407
typhoon-inflow,6,1st step,1 hour ahead,1255731,1120.594,439.5987,7.221562
typhoon-outflow,6,1st step,1 hour ahead,1380821.583,1175.083649,459.1567068,7.502327725
covid-inflow,6,1st step,1 hour ahead,377442.9758,614.363879,280.0667314,8.26048657
covid-outflow,6,1st step,1 hour ahead,330067.9801,574.5154307,269.6097534,8.047770087
typhoon-inflow,3,1st step,1 hour ahead,2046991.537,1430.73112,552.7417474,7.942215063
typhoon-outflow,3,1st step,1 hour ahead,2046292.661,1430.486861,546.00379,7.71688029
covid-inflow,3,1st step,1 hour ahead,544471.8222,737.8833392,319.7730029,9.87410554
covid-outflow,3,1st step,1 hour ahead,530970.6255,728.6773124,310.2195634,9.365920298
typhoon-inflow,9,1st step,1 hour ahead,2136010.237,1461.509575,547.8255711,8.55687021
typhoon-outflow,9,1st step,1 hour ahead,2313512.576,1521.023529,559.3644676,8.884197847
covid-inflow,9,1st step,1 hour ahead,553380.3508,743.8953897,318.0173864,9.935500716
covid-outflow,9,1st step,1 hour ahead,540897.17,735.4571164,311.7034161,9.431435021
typhoon-inflow,12,1st step,1 hour ahead,7852356.258,2802.205606,948.19002,12.6633213
typhoon-outflow,12,1st step,1 hour ahead,6425175.782,2534.793045,838.5062715,10.97556629
covid-inflow,12,1st step,1 hour ahead,324128.8819,569.3231788,277.6194579,8.615396847
covid-outflow,12,1st step,1 hour ahead,389733.5314,624.2864177,296.908276,9.411077088
typhoon-inflow,6,3rd step,3 hours ahead,4576181,2139.201,729.9314,8.565316
typhoon-outflow,6,3rd step,3 hours ahead,4722595.726,2173.153406,742.411689,8.717350887
covid-inflow,6,3rd step,3 hours ahead,1328847.579,1152.756513,445.3541869,9.434416389
covid-outflow,6,3rd step,3 hours ahead,1258888.339,1122.001934,432.2325987,9.57157642
typhoon-inflow,3,3rd step,3 hours ahead,6419997.333,2533.771366,882.7614355,11.3754936
typhoon-outflow,3,3rd step,3 hours ahead,6572709.646,2563.729636,886.1379398,11.60290699
covid-inflow,3,3rd step,3 hours ahead,1826263.556,1351.393191,508.4289249,11.61484711
covid-outflow,3,3rd step,3 hours ahead,1736681.39,1317.83208,501.6695143,11.62264817
typhoon-inflow,9,3rd step,3 hours ahead,5823370.778,2413.166131,831.8061146,11.063209
typhoon-outflow,9,3rd step,3 hours ahead,5239883.068,2289.079087,788.9740587,11.20696091
covid-inflow,9,3rd step,3 hours ahead,1187562.646,1089.753479,435.7921271,11.27218763
covid-outflow,9,3rd step,3 hours ahead,1108931.034,1053.057944,431.5951105,11.45258251
typhoon-inflow,12,3rd step,3 hours ahead,10404813.58,3225.649327,1021.876448,11.75384092
typhoon-outflow,12,3rd step,3 hours ahead,8597873.522,2932.213076,956.4467959,11.31110304
covid-inflow,12,3rd step,3 hours ahead,963840.956,981.7540201,421.8167679,11.42248597
covid-outflow,12,3rd step,3 hours ahead,1024648.308,1012.249133,439.6372836,11.27206988
